"month";"usa_laid_off";"usa_rolling_total";"non_usa_laid_off";"non_usa_rolling_total"
"2020-03";7850.0;8350.0;1778.0;1778.0
"2020-04";19821.0;28171.0;6889.0;8667.0
"2020-05";14674.0;42845.0;11130.0;19797.0
"2020-06";3926.0;46771.0;3701.0;23498.0
"2020-07";1612.0;48383.0;5500.0;28998.0
"2020-08";1456.0;49839.0;513.0;29511.0
"2020-09";567.0;50406.0;42.0;29553.0
"2020-10";110.0;50516.0;340.0;29893.0
"2020-12";132.0;50885.0;720.0;30613.0
"2021-01";3172.0;54057.0;3641.0;34254.0
"2021-02";336.0;54393.0;532.0;34786.0
"2021-08";67.0;57202.0;1800.0;36666.0
"2021-12";900.0;60355.0;300.0;36966.0
"2022-02";3285.0;64150.0;400.0;37366.0
"2022-03";4105.0;68255.0;1609.0;38975.0
"2022-04";1958.0;70213.0;2170.0;41145.0
"2022-05";6267.0;76480.0;6618.0;47763.0
"2022-06";9451.0;85931.0;7943.0;55706.0
"2022-07";8821.0;94752.0;7402.0;63108.0
"2022-08";9800.0;104552.0;3255.0;66363.0
"2022-09";3396.0;107948.0;2485.0;68848.0
"2022-10";7246.0;115194.0;10160.0;79008.0
"2022-11";45913.0;161107.0;7538.0;86546.0
"2022-12";5768.0;166875.0;4561.0;91107.0
"2023-01";65269.0;232144.0;19445.0;110552.0
"2023-02";22040.0;254184.0;14453.0;125005.0
"2023-03";2375.0;256559.0;2095.0;127100.0
